Site;ForestType;canopy_gap;Forestage_2005;vol_2005;BasalArea_2005;Pine_2005;Spruce_2005;Deciduous_2005;Forestage_2018;vol_2018;BasalArea_2018;Pine_2018;Spruce_2018;Birch_percent_2018;Deciduous_2018;MaNonegeCat;MaNonegeSubCat;Date;Year;temp_dAprilMax;TWI_val;bas_spruce;bas_pine;bas_birch;bas_sorbus;bas_asp;boulder;log_20;log_5;new_stumps;old_stumps;tmaxapril_2005;tmin5sep_2005;mean_TreeHeight;soil_moist
30;mixed;39.4478;70;87;9.4;67;33;0;83;233;23.1;63;37;0;0;Nutrients;Nutrients;27/06/2011;2011;-3.30092;6.73878;8.4;6;0;0;0;2;0;5;0;1;14.3598003;0.805224;18.20334428;0.525
31;spruce;16.7594;60;369;35.2;0;100;0;71;367;42.7;0;100;0;0;Nutrients;Nutrients;01/09/2010;2010;-1.80708;6.9284801;29.2;1.7;0;1.5;0;3;19;22;0;1;7.5216098;3.18348;30.26549875;0.5
32;spruce;50.3768;50;222;30.8;17;83;0;68;148;19.5;9;91;0;0;Thinning;ThinUnk;01/04/2008;2008;2.7226601;7.57129;12.6;1.5;0;0;0;3;0;5;69;0;8.9891901;1.95353;14.77334848;0.54375
33;spruce;43.4306;50;226;31;47;53;0;71;143;19.2;37;57;6;0;Nutrients;Nutrients;28/11/2012;2012;3.0878;6.90832;9.3;3.4;0;0;0;8;10;17;103;0;9.849;2.99931;15.15976506;0.51875
34;mixed;40.4818;51;301;38.9;17;83;0;64;179;23.5;15;85;0;0;Nutrients;Nutrients;26/06/2011;2011;3.71053;7.5736299;10.5;5.6;0;0;0;17;0;0;9;11;6.2019401;0.109433;21.47142914;0.484375
35;spruce;18.649;67;254;28.6;0;90;10;80;335;35.2;0;92;0;8;Thinning;ThinUnk;01/08/2006;2006;-1.67178;6.3671699;29.2;0;1;1;0;7;4;20;0;104;10.2160997;0.320232;24.25572237;0.5
36;pine;40.2942;65;303;41.1;81;19;0;77;220;23;95;5;0;0;Thinning;ThinUnk;01/08/2006;2006;4.3610702;6.2880101;0.75;18.25;0;0;0;6;3;7;4;22;7.70015;4.1086998;23.24623802;0.46875
37;NA;41.5606;51;291;38;100;0;0;64;418;47.1;100;0;0;0;None;None;None;None;-2.1775301;8.1045303;9.7;9.4;1;0;0;19;0;7;33;17;9.8404703;0.143374;NA;0.471875
38;mixed;45.4434;50;271;31.3;0;100;0;62;193;23.5;13;87;0;0;Nutrients;Nutrients;01/09/2006;2006;1.87936;6.6142902;7;8;0;0;0;25;0;0;53;23;10.4961996;2.69578;15.50422931;0.4875
39;spruce;26.865;75;256;28.8;20;80;0;88;364;36.6;19;81;0;0;Thinning;ThinUnk;01/10/2007;2007;-1.87936;8.2674999;12.4;12;0;0;0;5;7;4;0;9;10.4989004;3.1882801;24.37855101;0.5
